EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Department,DistanceFromHome,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,JobInvolvement,PerformanceRating,LeftRole
3.0,4.0,2.0,51,Sales,6,1,Healthcare Representative,131160,1.0,11,8,1.0,6,1,0,3,3,No
3.0,2.0,4.0,31,Research & Development,10,1,Research Scientist,41890,0.0,23,8,6.0,3,5,1,2,4,Yes
2.0,2.0,1.0,32,Research & Development,17,4,Sales Executive,193280,1.0,15,8,5.0,2,5,0,3,3,No
4.0,4.0,3.0,38,Research & Development,2,3,Human Resources,83210,3.0,11,8,13.0,5,8,7,2,3,No
4.0,1.0,3.0,32,Research & Development,10,1,Sales Executive,23420,4.0,12,8,9.0,2,6,0,3,3,No
3.0,2.0,2.0,46,Research & Development,8,4,Research Director,40710,3.0,13,8,28.0,5,7,7,3,3,No
1.0,3.0,1.0,28,Research & Development,11,2,Sales Executive,58130,2.0,20,8,5.0,2,0,0,3,4,Yes
1.0,2.0,3.0,29,Research & Development,18,2,Sales Executive,31430,2.0,22,8,10.0,2,0,0,3,4,No
2.0,4.0,3.0,31,Research & Development,1,3,Laboratory Technician,20440,0.0,21,8,10.0,2,9,7,3,4,No
2.0,1.0,3.0,25,Research & Development,7,4,Laboratory Technician,134640,1.0,13,8,6.0,2,6,1,3,3,No
3.0,4.0,3.0,45,Research & Development,17,2,Laboratory Technician,79910,0.0,13,8,21.0,2,20,4,2,3,No
4.0,1.0,3.0,55,Research & Development,14,1,Sales Executive,55380,0.0,17,8,37.0,2,36,4,3,3,No
1.0,2.0,2.0,47,Research & Development,1,1,Research Scientist,57620,1.0,11,8,10.0,4,10,9,2,3,Yes
4.0,4.0,2.0,28,Research & Development,1,1,Manufacturing Director,25920,1.0,14,8,5.0,2,5,0,3,3,No
3.0,4.0,4.0,37,Research & Development,1,2,Healthcare Representative,53460,4.0,11,8,7.0,2,5,0,3,3,No
4.0,3.0,4.0,21,Research & Development,3,1,Laboratory Technician,42130,1.0,12,8,3.0,3,3,1,2,3,No
1.0,4.0,3.0,37,Research & Development,1,2,Sales Executive,41270,2.0,13,8,15.0,2,5,0,3,3,No
2.0,2.0,2.0,35,Sales,7,1,Sales Representative,24380,7.0,16,8,10.0,5,7,6,2,3,No
1.0,1.0,3.0,38,Research & Development,8,1,Manager,68700,1.0,11,8,8.0,5,8,7,3,3,No
3.0,2.0,1.0,26,Research & Development,1,2,Laboratory Technician,104470,1.0,18,8,6.0,3,6,1,3,3,No
