date,family,sales,onpromotion
2013-01-01,AUTOMOTIVE,0.0,0
2013-01-01,BABY CARE,0.0,0
2013-01-01,BEAUTY,0.0,0
2013-01-01,BEVERAGES,0.0,0
2013-01-01,BOOKS,0.0,0
2013-01-01,BREAD/BAKERY,0.0,0
2013-01-01,CELEBRATION,0.0,0
2013-01-01,CLEANING,0.0,0
2013-01-01,DAIRY,0.0,0
2013-01-01,DELI,0.0,0
2013-01-01,EGGS,0.0,0
2013-01-01,FROZEN FOODS,0.0,0
2013-01-01,GROCERY I,0.0,0
2013-01-01,GROCERY II,0.0,0
2013-01-01,HARDWARE,0.0,0
2013-01-01,HOME AND KITCHEN I,0.0,0
2013-01-01,HOME AND KITCHEN II,0.0,0
2013-01-01,HOME APPLIANCES,0.0,0
2013-01-01,HOME CARE,0.0,0
2013-01-01,LADIESWEAR,0.0,0
2013-01-01,LAWN AND GARDEN,0.0,0
2013-01-01,LINGERIE,0.0,0
2013-01-01,"LIQUOR,WINE,BEER",0.0,0
2013-01-01,MAGAZINES,0.0,0
2013-01-01,MEATS,0.0,0
2013-01-01,PERSONAL CARE,0.0,0
2013-01-01,PET SUPPLIES,0.0,0
2013-01-01,PLAYERS AND ELECTRONICS,0.0,0
2013-01-01,POULTRY,0.0,0
2013-01-01,PREPARED FOODS,0.0,0
2013-01-01,PRODUCE,0.0,0
2013-01-01,SCHOOL AND OFFICE SUPPLIES,0.0,0
2013-01-01,SEAFOOD,0.0,0
2013-01-02,AUTOMOTIVE,8.0,0
2013-01-02,BABY CARE,0.0,0
2013-01-02,BEAUTY,3.0,0
2013-01-02,BEVERAGES,1481.0,0
2013-01-02,BOOKS,0.0,0
2013-01-02,BREAD/BAKERY,523.882,0
2013-01-02,CELEBRATION,0.0,0
2013-01-02,CLEANING,1432.0,0
2013-01-02,DAIRY,651.0,0
2013-01-02,DELI,303.875,0
2013-01-02,EGGS,307.0,0
2013-01-02,FROZEN FOODS,111.1,0
2013-01-02,GROCERY I,3870.0,0
2013-01-02,GROCERY II,39.0,0
2013-01-02,HARDWARE,0.0,0
2013-01-02,HOME AND KITCHEN I,0.0,0
2013-01-02,HOME AND KITCHEN II,0.0,0
2013-01-02,HOME APPLIANCES,0.0,0
2013-01-02,HOME CARE,0.0,0
2013-01-02,LADIESWEAR,0.0,0
2013-01-02,LAWN AND GARDEN,2.0,0
2013-01-02,LINGERIE,16.0,0
2013-01-02,"LIQUOR,WINE,BEER",29.0,0
2013-01-02,MAGAZINES,0.0,0
2013-01-02,MEATS,655.6260000000001,0
2013-01-02,PERSONAL CARE,333.0,0
2013-01-02,PET SUPPLIES,0.0,0
2013-01-02,PLAYERS AND ELECTRONICS,0.0,0
2013-01-02,POULTRY,342.50597999999997,0
2013-01-02,PREPARED FOODS,127.35700000000001,0
2013-01-02,PRODUCE,0.0,0
2013-01-02,SCHOOL AND OFFICE SUPPLIES,0.0,0
2013-01-02,SEAFOOD,31.373001000000002,0
2013-01-03,AUTOMOTIVE,5.0,0
2013-01-03,BABY CARE,0.0,0
2013-01-03,BEAUTY,2.0,0
2013-01-03,BEVERAGES,1016.0,0
2013-01-03,BOOKS,0.0,0
2013-01-03,BREAD/BAKERY,321.693,0
2013-01-03,CELEBRATION,0.0,0
2013-01-03,CLEANING,1398.0,0
2013-01-03,DAIRY,461.0,0
2013-01-03,DELI,177.799,0
2013-01-03,EGGS,186.0,0
2013-01-03,FROZEN FOODS,59.265,0
2013-01-03,GROCERY I,2640.0,0
2013-01-03,GROCERY II,23.0,0
2013-01-03,HARDWARE,1.0,0
2013-01-03,HOME AND KITCHEN I,0.0,0
2013-01-03,HOME AND KITCHEN II,0.0,0
2013-01-03,HOME APPLIANCES,0.0,0
2013-01-03,HOME CARE,0.0,0
2013-01-03,LADIESWEAR,0.0,0
2013-01-03,LAWN AND GARDEN,2.0,0
2013-01-03,LINGERIE,20.0,0
2013-01-03,"LIQUOR,WINE,BEER",22.0,0
2013-01-03,MAGAZINES,0.0,0
2013-01-03,MEATS,597.745,0
2013-01-03,PERSONAL CARE,236.0,0
2013-01-03,PET SUPPLIES,0.0,0
2013-01-03,PLAYERS AND ELECTRONICS,0.0,0
2013-01-03,POULTRY,317.652,0
2013-01-03,PREPARED FOODS,92.04299999999999,0
2013-01-03,PRODUCE,0.0,0
2013-01-03,SCHOOL AND OFFICE SUPPLIES,0.0,0
2013-01-03,SEAFOOD,34.343,0
2013-01-04,AUTOMOTIVE,3.0,0
2013-01-04,BABY CARE,0.0,0
